#,Jugador,MIN,TCA,TCI,%TC,T3A,T3I,%T3,TLA,TLI,%TL,RO,RD,REB,ASI,PER,ROB,TAP,TAPR,FP,FPR,PTS,#ERROR!,VAL
0,Devontae Cacok,13:35,2,2,100,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,1,4,-9,0
2,Sander Raieste,24:05:00,2,4,50,1,2,50,0,0,0,1,6,7,3,3,2,4,1,3,0,5,10,13
5,David DeJulius,23:34,10,16,"62,5",2,6,"33,33",3,4,75,1,3,4,4,1,0,0,0,1,6,25,11,30
31,Dylan Ennis,27:32:00,3,8,"37,5",0,2,0,1,2,50,1,5,6,1,3,0,0,0,1,4,7,15,8
99,Toni Nakic,23:48,3,6,50,2,5,40,5,6,"83,33",1,3,4,1,0,1,0,0,3,2,13,2,14
1,Michael Forrest,15:44,3,10,30,2,4,50,3,4,75,0,2,2,2,1,1,0,0,1,3,11,-3,9
8,Howard Sant-Roos,17:38,4,7,"57,14",1,2,50,1,2,50,1,3,4,1,0,0,0,0,0,2,10,-9,13
12,Jonah Radebaugh,12:28,1,3,"33,33",0,1,0,0,0,0,1,0,1,1,0,0,0,0,2,1,2,-10,1
13,Wilhelm Falk,15:24,0,3,0,0,2,0,0,0,0,1,3,4,0,1,0,0,0,1,0,0,3,-1
15,Emanuel Cate,26:12:00,6,9,"66,67",0,0,0,0,2,0,2,4,6,0,2,1,0,1,3,2,12,15,11
,Equipo,,,,,,,,,,,0,2,2,,1,,,,1,,,,0
,Totales,200,34,68,50,8,24,"33,33",13,20,65,9,31,40,14,14,5,4,2,20,21,89,25,98
