#,Jugador,MIN,TCA,TCI,%TC,T3A,T3I,%T3,TLA,TLI,%TL,RO,RD,REB,ASI,PER,ROB,TAP,TAPR,FP,FPR,PTS,#ERROR!,VAL
5,David DeJulius,20:08,5,13,"38,46",1,5,20,0,0,0,1,2,3,3,0,1,0,0,1,0,11,7,9
8,Howard Sant-Roos,14:02,1,2,50,1,2,50,3,4,75,1,1,2,0,2,2,0,0,3,2,6,3,5
15,Emanuel Cate,18:17,1,3,"33,33",0,0,0,2,4,50,3,3,6,0,0,2,0,0,1,2,4,-3,9
31,Dylan Ennis,20:02,2,8,25,1,5,20,6,6,100,0,2,2,1,2,1,0,0,0,3,11,-10,10
99,Toni Nakic,20:08,3,7,"42,86",1,3,"33,33",3,3,100,0,0,0,1,0,0,0,0,2,1,10,1,6
0,Devontae Cacok,21:43,3,6,50,0,0,0,5,6,"83,33",3,4,7,0,1,0,0,0,4,7,11,25,16
1,Michael Forrest,19:40,4,11,"36,36",3,9,"33,33",5,5,100,0,3,3,1,2,0,0,0,2,4,16,11,13
2,Sander Raieste,22:44,3,5,60,1,3,"33,33",2,2,100,1,3,4,0,1,0,0,0,3,2,9,23,9
12,Jonah Radebaugh,23:24,3,7,"42,86",2,6,"33,33",2,2,100,0,5,5,3,0,1,0,0,3,2,10,32,14
13,Wilhelm Falk,9:54,1,2,50,0,1,0,0,0,0,3,2,5,0,0,0,0,0,2,0,2,13,4
24,Zach Hicks,9:58,1,2,50,1,2,50,0,0,0,0,1,1,0,0,0,1,0,1,0,3,8,3
,Equipo,,,,,,,,,,,0,5,5,,0,,,,0,,,,5
,Totales,200,27,66,"40,91",11,36,"30,56",28,32,"87,5",12,31,43,9,8,7,1,0,22,24,93,110,104
