#,Jugador,MIN,TCA,TCI,%TC,T3A,T3I,%T3,TLA,TLI,%TL,RO,RD,REB,ASI,PER,ROB,TAP,TAPR,FP,FPR,PTS,#ERROR!,VAL
0,Devontae Cacok,18:08,4,7,"57,14",0,0,0,1,2,50,3,7,10,0,1,2,0,1,5,3,9,-6,14
2,Sander Raieste,13:57,2,5,40,1,4,25,0,0,0,2,1,3,0,0,2,2,0,5,0,5,-7,4
5,David DeJulius,3:24,7,15,"46,67",0,4,0,6,7,"85,71",1,1,2,4,2,3,0,1,1,5,20,-17,22
31,Dylan Ennis,24:04:00,6,15,40,2,8,25,1,1,100,0,2,2,2,1,1,0,0,2,2,15,-28,10
99,Toni Nakic,18:59,0,5,0,0,2,0,0,0,0,1,1,2,2,0,0,0,1,1,0,0,-28,-2
1,Michael Forrest,18:40,2,11,"18,18",2,9,"22,22",0,0,0,1,0,1,2,0,0,0,1,5,4,6,-2,-1
8,Howard Sant-Roos,9:56:00,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-2
12,Jonah Radebaugh,0:54,4,8,50,3,6,50,2,2,100,0,1,1,2,0,0,1,0,0,2,13,-8,15
13,Wilhelm Falk,11:53,0,4,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,2,1,0,-11,-3
15,Emanuel Cate,12:48,2,3,"66,67",0,0,0,4,4,100,1,0,1,0,0,2,0,0,3,2,8,-13,9
21,Moussa Diagne,5:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-5,-1
30,Kelan Martin,13:39,3,6,50,2,3,"66,67",0,0,0,0,1,1,0,0,1,0,1,2,0,8,-4,5
,Equipo,,,,,,,,,,,3,1,4,,1,,,,0,,,,3
,Totales,200,30,80,"37,5",10,37,"27,03",14,16,"87,5",12,17,29,12,6,11,3,6,27,19,84,-130,73
