#,Jugador,MIN,TCA,TCI,%TC,T3A,T3I,%T3,TLA,TLI,%TL,RO,RD,REB,ASI,PER,ROB,TAP,TAPR,FP,FPR,PTS,#ERROR!,VAL
2,Sander Raieste,22:58,2,7,"28,57",1,2,50,2,4,50,4,3,7,1,2,0,0,1,4,2,7,-2,4
5,David DeJulius,15:29,3,11,"27,27",1,6,"16,67",0,0,0,0,2,2,0,1,0,0,0,0,1,7,-12,1
15,Emanuel Cate,18:53,1,1,100,0,0,0,0,0,0,1,4,5,1,0,1,1,0,2,0,2,4,8
24,Zach Hicks,5:09,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,-11,-5
31,Dylan Ennis,26:18:00,6,13,"46,15",1,6,"16,67",5,7,"71,43",1,4,5,4,0,1,0,1,3,3,18,4,19
0,Devontae Cacok,21:07,3,6,50,0,0,0,3,5,60,0,3,3,0,2,2,1,0,4,4,9,8,8
1,Michael Forrest,24:31:00,12,19,"63,16",2,7,"28,57",4,4,100,1,1,2,3,5,0,0,0,0,2,30,24,25
8,Howard Sant-Roos,24:14:00,4,5,80,2,2,100,0,0,0,2,4,6,1,2,1,0,1,2,2,10,15,15
12,Jonah Radebaugh,14:48,3,4,75,1,2,50,0,0,0,0,0,0,2,0,1,1,0,3,0,7,7,7
13,Wilhelm Falk,26:33:00,1,7,"14,29",0,1,0,0,0,0,9,5,14,0,0,0,0,1,3,1,2,23,8
,Equipo,,,,,,,,,,,0,3,3,,0,,,,0,,,,3
,Totales,200,35,74,"47,3",8,27,"29,63",14,20,70,18,29,47,12,13,6,3,4,24,15,92,60,93
