#,Jugador,MIN,TCA,TCI,%TC,T3A,T3I,%T3,TLA,TLI,%TL,RO,RD,REB,ASI,PER,ROB,TAP,TAPR,FP,FPR,PTS,#ERROR!,VAL
0,Devontae Cacok,21:22,9,10,90,0,0,0,2,3,"66,67",2,4,6,0,4,1,0,1,5,5,20,3,21
2,Sander Raieste,22:09,4,5,80,3,4,75,0,0,0,1,8,9,0,1,0,0,0,3,2,11,6,17
5,David DeJulius,19:58,3,11,"27,27",0,4,0,0,0,0,1,0,1,7,1,1,0,0,2,0,6,-1,4
24,Zach Hicks,20:14,3,5,60,3,5,60,2,3,"66,67",0,3,3,0,0,0,0,0,3,1,11,2,9
31,Dylan Ennis,27:12:00,1,5,20,0,3,0,2,2,100,1,4,5,9,4,0,0,1,3,2,4,1,9
1,Michael Forrest,19:07,4,11,"36,36",1,4,25,10,13,"76,92",0,1,1,3,3,0,0,0,2,5,19,8,13
8,Howard Sant-Roos,17:56,0,3,0,0,3,0,0,0,0,0,2,2,1,0,0,0,0,0,1,0,-5,1
12,Jonah Radebaugh,13:40,0,4,0,0,3,0,0,0,0,1,3,4,2,0,0,0,1,1,0,0,0,1
13,Wilhelm Falk,5:02,0,0,0,0,0,0,2,2,100,1,2,3,0,1,0,0,0,0,2,2,-2,6
15,Emanuel Cate,18:36,1,3,"33,33",0,0,0,0,2,0,3,2,5,1,2,1,2,1,1,2,2,0,6
99,Toni Nakic,14:44,2,4,50,2,4,50,0,0,0,1,0,1,0,0,3,0,0,2,0,6,3,6
,Equipo,,,,,,,,,,,0,1,1,,2,,,,0,,,,-1
,Totales,200,27,61,"44,26",9,30,30,18,25,72,11,30,41,23,18,6,2,4,22,21,81,15,93
