#,Jugador,MIN,TCA,TCI,%TC,T3A,T3I,%T3,TLA,TLI,%TL,RO,RD,REB,ASI,PER,ROB,TAP,TAPR,FP,FPR,PTS,#ERROR!,VAL
5,David DeJulius,25:10:00,8,20,40,1,5,20,8,9,"88,89",0,2,2,1,3,0,0,1,1,5,25,2,16
8,Howard Sant-Roos,15:34,0,4,0,0,2,0,2,2,100,0,2,2,2,1,3,0,1,4,2,2,-3,2
15,Emanuel Cate,19:58,4,7,"57,14",0,0,0,2,2,100,2,4,6,1,0,1,0,0,1,2,10,0,16
31,Dylan Ennis,27:06:00,2,11,"18,18",1,5,20,0,0,0,2,1,3,3,0,1,0,1,1,0,5,-5,2
99,Toni Nakic,18:13,0,2,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,2,1,0,-4,-2
0,Devontae Cacok,19:57,5,10,50,0,0,0,6,8,75,4,5,9,0,1,0,1,0,4,6,16,-14,20
1,Michael Forrest,14:50,4,5,80,2,3,"66,67",0,0,0,0,3,3,1,3,0,0,0,1,1,10,-16,10
2,Sander Raieste,21:38,1,5,20,0,3,0,0,0,0,3,4,7,1,0,0,0,0,5,1,2,-19,2
12,Jonah Radebaugh,21:18,3,3,100,2,2,100,1,2,50,0,2,2,2,0,1,0,0,3,2,9,-7,12
13,Wilhelm Falk,10:29,1,2,50,0,0,0,1,3,"33,33",2,0,2,1,0,0,0,0,4,2,3,-2,1
24,Zach Hicks,5:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,-1
,Equipo,,,,,,,,,,,3,2,5,,5,,,,1,,,,-1
,Totales,200,28,69,"40,58",6,22,"27,27",20,26,"76,92",16,25,41,13,14,7,1,3,28,22,82,-70,77
