#,Jugador,MIN,TCA,TCI,%TC,T3A,T3I,%T3,TLA,TLI,%TL,RO,RD,REB,ASI,PER,ROB,TAP,TAPR,FP,FPR,PTS,#ERROR!,VAL
2,Sander Raieste,24:27:00,2,4,50,1,3,"33,33",1,2,50,1,7,8,1,0,2,1,0,2,1,6,3,14
5,David DeJulius,33:25:00,9,21,"42,86",5,9,"55,56",2,2,100,2,1,3,8,0,0,0,1,2,3,25,4,25
15,Emanuel Cate,27:55:00,4,9,"44,44",0,0,0,2,2,100,4,5,9,5,0,1,1,0,4,3,10,0,20
31,Dylan Ennis,33:03:00,6,13,"46,15",1,5,20,0,0,0,1,5,6,2,5,0,1,0,1,2,13,-4,11
99,Toni Nakic,32:10:00,3,6,50,3,6,50,1,1,100,0,1,1,0,0,1,0,0,1,2,10,-2,10
0,Devontae Cacok,16:54,2,4,50,0,0,0,1,4,25,0,2,2,0,0,1,0,0,3,5,5,-4,5
1,Michael Forrest,9:44,0,5,0,0,3,0,2,2,100,0,0,0,1,3,0,0,1,2,1,2,-5,-6
8,Howard Sant-Roos,20:11,4,7,"57,14",2,2,100,2,3,"66,67",1,3,4,1,2,1,0,0,1,3,12,-4,14
12,Jonah Radebaugh,14:21,0,2,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,-6,-5
13,Wilhelm Falk,0:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1
30,Kelan Martin,12:05,2,2,100,1,1,100,0,0,0,0,0,0,0,3,0,0,0,2,0,5,-2,0
,Equipo,,,,,,,,,,,1,0,1,,0,,,,0,,,,1
,Totales,225,32,73,"43,84",13,31,"41,94",11,16,"68,75",10,25,35,18,13,6,3,2,23,20,88,-20,88
