#,Jugador,MIN,TCA,TCI,%TC,T3A,T3I,%T3,TLA,TLI,%TL,RO,RD,REB,ASI,PER,ROB,TAP,TAPR,FP,FPR,PTS,#ERROR!,VAL
2,Sander Raieste,23:07,3,4,75,2,3,"66,67",0,0,0,1,4,5,2,1,3,0,0,4,2,8,-1,14
5,David DeJulius,24:11:00,9,19,"47,37",3,9,"33,33",2,3,"66,67",1,0,1,1,3,1,0,2,1,2,23,9,13
13,Wilhelm Falk,14:49,1,4,25,0,1,0,0,0,0,3,1,4,0,0,0,1,1,2,1,2,8,3
15,Emanuel Cate,23:12,5,8,"62,5",0,0,0,1,1,100,3,7,10,0,1,0,0,0,2,3,11,7,18
31,Dylan Ennis,22:15,1,8,"12,5",0,3,0,1,2,50,0,3,3,5,2,2,0,0,3,2,3,1,2
0,Devontae Cacok,13:48,5,6,"83,33",0,0,0,3,3,100,2,3,5,2,0,1,0,0,4,5,13,3,21
1,Michael Forrest,15:11,2,11,"18,18",1,7,"14,29",6,8,75,0,0,0,2,1,1,0,2,4,5,11,-3,3
8,Howard Sant-Roos,23:05,2,5,40,0,1,0,1,2,50,0,4,4,0,0,1,0,0,1,1,5,21,6
12,Jonah Radebaugh,18:23,1,3,"33,33",0,2,0,0,0,0,0,5,5,2,2,1,0,0,4,1,2,7,3
21,Moussa Diagne,2:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0
24,Zach Hicks,3:36,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,1,0
99,Toni Nakic,16:04,2,4,50,2,4,50,2,2,100,1,2,3,0,0,0,1,0,0,0,8,-16,10
,Equipo,,,,,,,,,,,1,1,2,,3,,,,1,,,,-2
,Totales,200,31,73,"42,47",8,30,"26,67",16,21,"76,19",13,31,44,14,13,10,2,5,27,22,86,35,91
