#,Jugador,MIN,TCA,TCI,%TC,T3A,T3I,%T3,TLA,TLI,%TL,RO,RD,REB,ASI,PER,ROB,TAP,TAPR,FP,FPR,PTS,#ERROR!,VAL
0,Devontae Cacok,12:52,1,3,"33,33",0,0,0,0,0,0,3,0,3,0,1,1,0,1,2,4,2,-6,5
2,Sander Raieste,20:00,1,3,"33,33",1,2,50,4,4,100,1,4,5,0,1,1,0,0,4,2,7,-12,8
5,David DeJulius,29:09:00,6,17,"35,29",3,7,"42,86",0,2,0,0,1,1,3,1,2,0,0,1,2,15,-7,8
31,Dylan Ennis,28:54:00,9,17,"52,94",3,7,"42,86",1,2,50,2,3,5,5,2,2,0,0,2,3,22,-4,24
99,Toni Nakic,25:19:00,3,5,60,3,5,60,0,0,0,0,2,2,2,1,1,1,1,1,1,9,-4,12
1,Michael Forrest,10:51,4,7,"57,14",1,3,"33,33",1,3,"33,33",2,0,2,0,1,0,0,0,0,1,10,-6,7
8,Howard Sant-Roos,12:12,1,3,"33,33",0,1,0,2,3,"66,67",0,1,1,1,1,0,1,0,1,2,4,-7,4
12,Jonah Radebaugh,18:50,0,3,0,0,3,0,1,2,50,0,3,3,1,1,2,0,0,4,2,1,-10,0
13,Wilhelm Falk,5:55,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,5,-1
15,Emanuel Cate,20:49,3,5,60,0,0,0,5,6,"83,33",3,2,5,0,2,1,1,1,2,6,11,-3,17
21,Moussa Diagne,4:08,1,1,100,0,0,0,0,0,0,1,1,2,0,2,1,0,0,1,0,2,1,2
24,Zach Hicks,11:01,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-12,-7
,Equipo,,,,,,,,,,,0,2,2,,2,,,,1,,,,-1
,Totales,200,29,69,"42,03",11,33,"33,33",14,22,"63,64",13,19,32,12,15,11,3,3,23,23,83,-65,78
