#,Jugador,MIN,TCA,TCI,%TC,T3A,T3I,%T3,TLA,TLI,%TL,RO,RD,REB,ASI,PER,ROB,TAP,TAPR,FP,FPR,PTS,#ERROR!,VAL
2,Sander Raieste,25:03:00,1,4,25,0,1,0,1,2,50,2,4,6,2,1,1,0,0,3,2,3,-10,6
5,David DeJulius,19:30,2,12,"16,67",2,8,25,1,2,50,0,2,2,2,1,1,0,0,1,1,7,-6,0
15,Emanuel Cate,16:36,4,7,"57,14",0,0,0,3,5,60,5,3,8,0,1,0,2,0,4,3,11,-6,14
24,Zach Hicks,12:21,2,5,40,2,5,40,1,2,50,2,2,4,0,0,0,0,0,3,1,7,-4,5
31,Dylan Ennis,23:59,2,7,"28,57",1,3,"33,33",2,4,50,0,1,1,1,2,0,0,1,2,3,7,-3,1
0,Devontae Cacok,17:45,5,5,100,0,0,0,2,2,100,1,4,5,1,1,0,0,0,4,4,12,-2,17
1,Michael Forrest,20:30,5,13,"38,46",3,7,"42,86",0,0,0,0,2,2,3,2,1,0,3,1,1,13,-5,9
8,Howard Sant-Roos,23:58,3,6,50,0,1,0,2,3,"66,67",1,2,3,5,0,1,0,0,0,3,8,0,16
12,Jonah Radebaugh,16:01,2,3,"66,67",1,1,100,0,0,0,0,0,0,0,1,0,0,0,3,0,5,-8,0
13,Wilhelm Falk,8:36,1,1,100,1,1,100,0,0,0,1,0,1,0,0,0,0,0,1,0,3,-6,3
21,Moussa Diagne,5:39,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,-3,2
99,Toni Nakic,10:02,0,4,0,0,3,0,0,0,0,0,2,2,0,0,0,0,0,3,0,0,-2,-5
,Equipo,,,,,,,,,,,2,0,2,,1,,,,1,,,,0
,Totales,200,29,69,"42,03",10,30,"33,33",12,20,60,14,22,36,14,10,4,2,4,28,18,80,-55,68
