#,Jugador,MIN,TCA,TCI,%TC,T3A,T3I,%T3,TLA,TLI,%TL,RO,RD,REB,ASI,PER,ROB,TAP,TAPR,FP,FPR,PTS,#ERROR!,VAL
0,Devontae Cacok,21:14,8,12,"66,67",0,0,0,5,8,"62,5",4,4,8,1,2,0,0,0,2,8,21,10,27
2,Sander Raieste,21:03,1,5,20,0,3,0,1,1,100,1,4,5,1,0,0,1,0,4,1,3,0,3
5,David DeJulius,22:50,4,9,"44,44",1,3,"33,33",3,3,100,0,1,1,4,3,0,0,0,5,2,12,15,6
31,Dylan Ennis,27:41:00,7,11,"63,64",3,5,60,2,2,100,0,0,0,7,3,0,0,0,2,3,19,17,20
99,Toni Nakic,12:51,2,2,100,1,1,100,0,0,0,0,2,2,0,1,2,0,0,0,1,5,6,9
1,Michael Forrest,22:28,5,12,"41,67",4,8,50,0,2,0,0,0,0,4,3,1,0,0,2,3,14,13,8
8,Howard Sant-Roos,24:07:00,3,7,"42,86",2,2,100,4,4,100,1,6,7,1,3,2,0,0,2,2,12,14,15
13,Wilhelm Falk,15:33,1,1,100,0,0,0,3,4,75,0,2,2,0,0,1,0,0,4,2,5,17,5
15,Emanuel Cate,18:46,0,5,0,0,0,0,0,0,0,2,3,5,0,2,2,1,0,3,2,0,11,0
20,Pablo Sevilla,1:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
30,Kelan Martin,11:36,3,5,60,1,2,50,3,3,100,1,2,3,1,0,1,0,0,1,2,10,-2,14
,Equipo,,,,,,,,,,,1,5,6,,2,,,,1,,,,3
,Totales,200,34,69,"49,28",12,24,50,21,27,"77,78",10,29,39,19,19,9,2,0,26,27,101,105,111
