#,Jugador,MIN,TCA,TCI,%TC,T3A,T3I,%T3,TLA,TLI,%TL,RO,RD,REB,ASI,PER,ROB,TAP,TAPR,FP,FPR,PTS,#ERROR!,VAL
2,Sander Raieste,22:49,7,10,70,2,4,50,1,2,50,2,5,7,2,1,1,0,0,3,1,17,14,20
5,David DeJulius,20:11,2,6,"33,33",2,4,50,0,0,0,0,2,2,5,1,0,0,0,3,0,6,21,5
15,Emanuel Cate,17:22,1,1,100,0,0,0,0,0,0,1,3,4,3,1,0,0,0,2,1,2,22,7
31,Dylan Ennis,23:43,5,12,"41,67",2,6,"33,33",2,2,100,1,3,4,6,1,4,0,1,0,1,14,26,21
99,Toni Nakic,19:28,2,5,40,2,4,50,6,6,100,2,1,3,3,0,0,0,0,2,4,12,25,17
0,Devontae Cacok,16:41,3,6,50,0,0,0,2,2,100,3,5,8,1,1,2,0,0,3,2,8,8,14
1,Michael Forrest,19:49,4,9,"44,44",3,7,"42,86",0,0,0,1,3,4,6,4,0,0,1,1,2,11,10,13
8,Howard Sant-Roos,14:51,1,4,25,1,3,"33,33",2,2,100,0,3,3,2,1,0,0,0,2,1,5,17,5
12,Jonah Radebaugh,16:17,3,4,75,2,3,"66,67",3,3,100,1,1,2,2,2,1,0,0,1,2,11,5,14
13,Wilhelm Falk,18:32,2,5,40,0,1,0,1,1,100,2,0,2,0,1,1,0,0,3,1,5,7,2
21,Moussa Diagne,5:57,2,3,"66,67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,2
24,Zach Hicks,4:20,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-1,-3
,Equipo,,,,,,,,,,,2,2,4,,1,,,,0,,,,3
,Totales,200,32,66,"48,48",14,33,"42,42",17,18,"94,44",15,28,43,30,15,9,0,2,22,15,95,155,120
