#,Jugador,MIN,TCA,TCI,%TC,T3A,T3I,%T3,TLA,TLI,%TL,RO,RD,REB,ASI,PER,ROB,TAP,TAPR,FP,FPR,PTS,#ERROR!,VAL
2,Sander Raieste,22:07,4,7,"57,14",0,2,0,3,3,100,1,4,5,1,1,1,1,1,3,4,11,-5,16
5,David DeJulius,23:33,4,12,"33,33",2,5,40,0,0,0,0,0,0,4,2,1,0,0,1,5,10,9,9
15,Emanuel Cate,20:39,5,5,100,0,0,0,0,0,0,2,1,3,0,0,0,0,0,2,0,10,-5,11
31,Dylan Ennis,23:28,4,7,"57,14",2,4,50,2,2,100,0,1,1,5,2,1,0,0,2,2,12,6,14
99,Toni Nakic,26:10:00,2,6,"33,33",1,5,20,0,0,0,1,2,3,2,0,3,1,0,2,4,5,11,12
0,Devontae Cacok,19:21,9,13,"69,23",0,0,0,6,6,100,3,2,5,3,1,3,0,0,3,4,24,16,31
1,Michael Forrest,16:43,5,10,50,2,6,"33,33",2,4,50,1,0,1,3,0,0,0,1,2,2,14,4,11
8,Howard Sant-Roos,26:27:00,3,4,75,1,1,100,0,0,0,0,3,3,3,1,2,0,0,3,1,7,11,11
12,Jonah Radebaugh,17:46,5,10,50,3,7,"42,86",0,0,0,0,1,1,3,0,2,0,1,1,0,13,6,13
30,Kelan Martin,3:46,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,-4
,Equipo,,,,,,,,,,,1,2,3,,0,,,,0,,,,3
,Totales,200,41,75,"54,67",11,31,"35,48",13,15,"86,67",9,16,25,24,7,13,2,3,22,22,106,55,127
