#,Jugador,MIN,TCA,TCI,%TC,T3A,T3I,%T3,TLA,TLI,%TL,RO,RD,REB,ASI,PER,ROB,TAP,TAPR,FP,FPR,PTS,#ERROR!,VAL
2,Sander Raieste,18:49,1,2,50,0,1,0,0,0,0,0,6,6,0,2,0,0,0,5,0,2,1,0
5,David DeJulius,27:58:00,4,13,"30,77",3,5,60,0,0,0,0,2,2,2,0,0,0,1,1,1,11,5,6
15,Emanuel Cate,27:02:00,5,9,"55,56",0,0,0,5,6,"83,33",5,6,11,1,1,0,3,0,2,4,15,1,26
31,Dylan Ennis,28:19:00,6,17,"35,29",1,6,"16,67",9,10,90,0,3,3,6,1,1,0,1,2,8,22,2,25
99,Toni Nakic,30:07:00,1,4,25,1,3,"33,33",2,2,100,1,5,6,2,0,1,0,1,1,3,5,9,13
1,Michael Forrest,13:25,2,6,"33,33",1,4,25,0,0,0,0,1,1,1,2,0,0,0,2,1,5,2,0
8,Howard Sant-Roos,20:44,3,5,60,0,0,0,3,4,75,0,4,4,2,1,2,0,0,1,5,9,3,17
12,Jonah Radebaugh,13:13,2,4,50,1,3,"33,33",0,0,0,0,0,0,0,0,2,0,0,2,2,5,-4,5
13,Wilhelm Falk,2:38,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2
16,Rubén López,0:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Moussa Diagne,12:58,1,3,"33,33",0,0,0,4,6,"66,67",0,2,2,0,1,1,0,0,4,4,6,0,4
24,Zach Hicks,4:44,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,-2,-1
,Equipo,,,,,,,,,,,5,2,7,,0,,,,0,,,,7
,Totales,200,25,66,"37,88",7,25,28,23,28,"82,14",11,32,43,14,8,7,3,3,21,28,80,15,100
