#,Jugador,MIN,TCA,TCI,%TC,T3A,T3I,%T3,TLA,TLI,%TL,RO,RD,REB,ASI,PER,ROB,TAP,TAPR,FP,FPR,PTS,#ERROR!,VAL
0,Devontae Cacok,19:37,6,9,"66,67",0,0,0,3,6,50,0,6,6,2,4,1,0,0,4,5,15,8,15
2,Sander Raieste,21:18,2,4,50,1,2,50,0,0,0,3,2,5,1,0,3,1,0,1,0,5,-3,12
5,David DeJulius,28:28:00,4,9,"44,44",2,5,40,6,8,75,0,0,0,3,2,1,0,0,1,5,16,0,15
31,Dylan Ennis,35:05:00,2,10,20,0,5,0,2,4,50,1,3,4,1,2,3,0,2,1,4,6,-2,5
99,Toni Nakic,17:24,3,6,50,3,5,60,2,2,100,1,2,3,0,0,0,0,0,2,3,11,-4,12
1,Michael Forrest,15:58,4,9,"44,44",3,6,50,1,2,50,0,2,2,1,1,0,0,1,1,1,12,11,8
8,Howard Sant-Roos,18:42,4,6,"66,67",0,1,0,3,4,75,0,3,3,1,1,2,1,0,2,3,11,9,15
13,Wilhelm Falk,8:53,1,1,100,0,0,0,2,2,100,2,0,2,2,0,1,0,0,5,2,4,6,6
15,Emanuel Cate,19:37,2,5,40,0,0,0,3,5,60,2,0,2,1,1,0,0,0,2,3,7,-2,5
30,Kelan Martin,14:58,1,6,"16,67",1,4,25,0,0,0,0,3,3,0,1,2,0,0,2,0,3,7,0
,Equipo,,,,,,,,,,,1,3,4,,0,,,,0,,,,4
,Totales,200,29,65,"44,62",10,28,"35,71",22,33,"66,67",10,24,34,12,12,13,2,3,21,27,90,30,98
