#,Jugador,MIN,TCA,TCI,%TC,T3A,T3I,%T3,TLA,TLI,%TL,RO,RD,REB,ASI,PER,ROB,TAP,TAPR,FP,FPR,PTS,#ERROR!,VAL
0,Devontae Cacok,10:56,2,4,50,0,0,0,1,2,50,2,2,4,0,1,0,0,0,2,4,5,-5,7
2,Sander Raieste,22:16,5,9,"55,56",1,3,"33,33",2,2,100,1,6,7,2,1,1,0,0,4,1,13,21,15
5,David DeJulius,25:43:00,8,11,"72,73",3,4,75,3,4,75,0,1,1,4,2,2,0,0,2,4,22,10,25
24,Zach Hicks,10:37,0,2,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,1,-2
31,Dylan Ennis,14:37,1,3,"33,33",0,0,0,0,0,0,1,0,1,1,4,1,0,0,3,1,2,-3,-3
1,Michael Forrest,16:09,1,10,10,0,4,0,2,2,100,1,0,1,1,0,1,0,1,1,3,4,10,0
8,Howard Sant-Roos,16:40,2,4,50,0,0,0,2,2,100,0,2,2,3,0,0,0,1,0,1,6,-3,10
12,Jonah Radebaugh,25:23:00,3,7,"42,86",1,4,25,3,6,50,0,5,5,0,1,2,0,0,1,4,10,22,12
13,Wilhelm Falk,10:14,2,4,50,0,1,0,0,1,0,0,1,1,0,0,1,1,1,5,1,4,12,0
15,Emanuel Cate,27:13:00,6,9,"66,67",0,0,0,0,1,0,6,5,11,1,2,0,0,0,3,2,12,22,17
99,Toni Nakic,20:12,3,8,"37,5",0,4,0,0,0,0,1,0,1,1,1,1,1,0,2,0,6,8,2
,Equipo,,,,,,,,,,,2,2,4,,0,,,,0,,,,4
,Totales,200,33,71,"46,48",5,22,"22,73",13,20,65,14,26,40,13,12,9,2,3,25,21,84,95,87
