#,Jugador,MIN,TCA,TCI,%TC,T3A,T3I,%T3,TLA,TLI,%TL,RO,RD,REB,ASI,PER,ROB,TAP,TAPR,FP,FPR,PTS,#ERROR!,VAL
0,Devontae Cacok,12:21,3,4,75,0,0,0,1,4,25,1,2,3,2,1,0,1,0,3,3,7,19,8
2,Sander Raieste,17:57,0,4,0,0,2,0,2,2,100,1,8,9,3,0,2,1,0,4,2,2,21,11
5,David DeJulius,21:20,5,9,"55,56",5,7,"71,43",0,0,0,0,1,1,6,2,0,0,0,1,1,15,15,16
31,Dylan Ennis,21:20,10,18,"55,56",8,12,"66,67",2,2,100,0,4,4,0,1,0,0,4,1,3,30,17,27
99,Toni Nakic,26:53:00,3,6,50,1,4,25,3,4,75,2,1,3,3,1,0,0,0,2,2,10,18,11
1,Michael Forrest,18:40,5,9,"55,56",3,6,50,3,4,75,2,0,2,1,3,0,0,1,3,3,16,21,11
8,Howard Sant-Roos,20:53,1,4,25,0,2,0,0,0,0,0,7,7,2,2,0,0,0,0,3,2,15,9
12,Jonah Radebaugh,18:40,5,6,"83,33",3,4,75,2,3,"66,67",1,4,5,1,0,1,0,0,1,4,15,19,23
13,Wilhelm Falk,1:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Emanuel Cate,22:34,2,2,100,0,0,0,0,2,0,2,6,8,3,0,0,1,0,4,1,4,16,11
21,Moussa Diagne,5:05,0,2,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,2,0,0,1,-1
24,Zach Hicks,13:07,2,4,50,2,4,50,0,0,0,0,1,1,0,0,0,0,0,4,0,6,18,1
,Equipo,,,,,,,,,,,1,1,2,,1,,,,0,,,,1
,Totales,200,36,68,"52,94",22,41,"53,66",13,21,"61,9",11,35,46,22,11,4,3,5,25,22,107,180,128
