#,Jugador,MIN,TCA,TCI,%TC,T3A,T3I,%T3,TLA,TLI,%TL,RO,RD,REB,ASI,PER,ROB,TAP,TAPR,FP,FPR,PTS,#ERROR!,VAL
0,Devontae Cacok,13:44,3,3,100,0,0,0,2,2,100,1,1,2,1,2,0,0,0,5,3,8,-9,7
2,Sander Raieste,16:45,0,1,0,0,0,0,1,2,50,0,4,4,1,1,0,0,0,5,1,1,-2,-1
5,David DeJulius,23:48,3,12,25,1,7,"14,29",1,2,50,0,0,0,2,0,1,0,0,3,3,8,-2,1
31,Dylan Ennis,27:19:00,4,11,"36,36",3,6,50,3,7,"42,86",5,5,10,4,2,3,0,1,2,4,14,-4,20
99,Toni Nakic,16:33,2,6,"33,33",1,5,20,0,0,0,1,1,2,0,1,0,0,0,2,0,5,-2,0
1,Michael Forrest,20:05,7,15,"46,67",4,10,40,2,2,100,0,1,1,0,2,0,0,0,0,2,20,1,13
8,Howard Sant-Roos,23:46,3,4,75,0,1,0,2,3,"66,67",1,4,5,1,1,1,0,0,0,4,8,-3,16
12,Jonah Radebaugh,12:41,1,4,25,0,1,0,0,0,0,1,2,3,2,1,1,0,0,2,2,2,-1,4
13,Wilhelm Falk,9:12,0,2,0,0,2,0,0,0,0,2,2,4,0,1,0,0,0,1,1,0,2,1
15,Emanuel Cate,21:55,2,6,"33,33",0,0,0,2,2,100,3,3,6,0,0,0,0,0,2,2,6,-2,8
21,Moussa Diagne,3:50,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,6,2
24,Zach Hicks,10:22,0,2,0,0,1,0,0,0,0,2,0,2,0,2,1,0,0,2,0,0,-9,-3
,Equipo,,,,,,,,,,,3,2,5,,1,,,,0,,,,4
,Totales,200,25,67,"37,31",9,33,"27,27",13,20,65,20,25,45,12,14,7,1,1,24,22,72,-25,72
