D,Nombre,Min,P,T2,T2 %,T3,T3 %,T1,T1 %,REBT,REBD+O,ASI,BR,BP,CONTRA,TAPF,TAPC,MAT,FPF,FPC,#ERROR!,VAL
*0,D. Cacok,19:37,15,6/9,67%,0/0,0%,3/6,50%,6,6+0,2,1,4,4,0,0,2,4,5,8,15
1,M. Forrest,15:58,12,1/3,33%,3/6,50%,1/2,50%,2,2+0,1,0,1,2,0,1,0,1,1,11,7
*2,S. Raieste,21:18,5,1/2,50%,1/2,50%,0/0,0%,5,2+3,1,3,0,2,1,0,1,1,0,-3,12
*5,D. DeJulius,28:28:00,16,2/4,50%,2/5,40%,6/8,75%,0,0+0,3,1,2,2,0,0,0,1,5,0,15
6,D. García,,,,,,,,,,,,,,,,,,,,,
8,H. Sant-Roos,18:42,11,4/5,80%,0/1,0%,3/4,75%,3,3+0,1,2,1,2,1,0,0,2,3,9,15
13,W. Falk,8:53,4,1/1,100%,0/0,0%,2/2,100%,2,0+2,2,1,0,0,0,0,0,5,2,6,6
15,E. Cate,19:37,7,2/5,40%,0/0,0%,3/5,60%,2,0+2,1,0,1,0,0,0,0,2,3,-2,5
16,R. López,,,,,,,,,,,,,,,,,,,,,
30,K. Martin,14:58,3,0/2,0%,1/4,25%,0/0,0%,3,3+0,0,2,1,0,0,0,0,2,0,7,0
*31,D. Ennis,35:05:00,6,2/5,40%,0/5,0%,2/4,50%,4,3+1,1,3,2,0,0,2,0,1,4,-2,3
*99,T. Nakic,17:24,11,0/1,0%,3/5,60%,2/2,100%,3,2+1,0,0,0,3,0,0,0,2,3,-4,12
,Equipo,,,,,,,,,4,3+1,,0,0,,,,,0,0,,4
