D,Nombre,Min,P,T2,T2 %,T3,T3 %,T1,T1 %,REBT,REBD+O,ASI,BR,BP,CONTRA,TAPF,TAPC,MAT,FPF,FPC,#ERROR!,VAL
0,D. Cacok,17:45,12,5/5,100%,0/0,0%,2/2,100%,5,4+1,1,0,1,2,0,0,1,4,4,-2,17
1,M. Forrest,20:30,13,2/6,33%,3/7,43%,0/0,0%,2,2+0,3,1,2,0,0,3,0,1,1,-5,6
*2,S. Raieste,25:03:00,3,1/3,33%,0/1,0%,1/2,50%,6,4+2,2,1,1,0,0,0,0,3,2,-10,6
*5,D. DeJulius,19:30,7,0/4,0%,2/8,25%,1/2,50%,2,2+0,2,1,1,0,0,0,0,1,1,-6,0
8,H. Sant-Roos,23:58,8,3/5,60%,0/1,0%,2/3,67%,3,2+1,5,1,0,0,0,0,0,0,3,0,16
12,J. Radebaugh,16:01,5,1/2,50%,1/1,100%,0/0,0%,0,0+0,0,0,1,0,0,0,0,3,0,-8,0
13,W. Falk,8:36,3,0/0,0%,1/1,100%,0/0,0%,1,0+1,0,0,0,0,0,0,0,1,0,-6,3
*15,E. Cate,16:36,11,4/7,57%,0/0,0%,3/5,60%,8,3+5,0,0,1,2,2,0,0,4,3,-6,14
21,M. Diagné,5:39,4,2/2,100%,0/0,0%,0/0,0%,0,0+0,0,0,0,0,0,0,1,2,0,-3,2
*24,Z. Hicks,12:21,7,0/0,0%,2/5,40%,1/2,50%,4,2+2,0,0,0,0,0,0,0,3,1,-4,5
*31,D. Ennis,23:59,7,1/4,25%,1/3,33%,2/4,50%,1,1+0,1,0,2,0,0,1,0,2,3,-3,0
99,T. Nakic,10:02,0,0/1,0%,0/3,0%,0/0,0%,2,2+0,0,0,0,0,0,0,0,3,0,-2,-5
,Equipo,,,,,,,,,2,0+2,,0,1,,,,,1,0,,0
