D,Nombre,Min,P,T2,T2 %,T3,T3 %,T1,T1 %,REBT,REBD+O,ASI,BR,BP,CONTRA,TAPF,TAPC,MAT,FPF,FPC,#ERROR!,VAL
*0,D. Cacok,10:56,5,2/4,50%,0/0,0%,1/2,50%,4,2+2,0,0,1,0,0,0,1,2,4,-5,7
1,M. Forrest,16:09,4,1/6,17%,0/4,0%,2/2,100%,1,0+1,1,1,0,0,0,1,0,1,3,10,-1
*2,S. Raieste,22:16,13,4/6,67%,1/3,33%,2/2,100%,7,6+1,2,1,1,2,0,0,1,4,1,21,15
*5,D. DeJulius,25:43:00,22,5/7,71%,3/4,75%,3/4,75%,1,1+0,4,2,2,0,0,0,0,2,4,10,25
8,H. Sant-Roos,16:40,6,2/4,50%,0/0,0%,2/2,100%,2,2+0,3,0,0,0,0,1,0,0,1,-3,9
12,J. Radebaugh,25:23:00,10,2/3,67%,1/4,25%,3/6,50%,5,5+0,0,2,1,5,0,0,0,1,4,22,12
13,W. Falk,10:14,4,2/3,67%,0/1,0%,0/1,0%,1,1+0,0,1,0,0,1,1,0,5,1,12,-1
15,E. Cate,27:13:00,12,6/9,67%,0/0,0%,0/1,0%,11,5+6,1,0,2,0,0,0,2,3,2,22,17
21,M. Diagné,,,,,,,,,,,,,,,,,,,,,
*24,Z. Hicks,10:37,0,0/0,0%,0/2,0%,0/0,0%,2,2+0,0,0,0,0,0,0,0,2,0,1,-2
*31,D. Ennis,14:37,2,1/3,33%,0/0,0%,0/0,0%,1,0+1,1,1,4,2,0,0,1,3,1,-3,-3
99,T. Nakic,20:12,6,3/4,75%,0/4,0%,0/0,0%,1,0+1,1,1,1,4,1,0,0,2,0,8,2
,Equipo,,,,,,,,,4,2+2,,2,0,,,,,0,0,,6
