D,Nombre,Min,P,T2,T2 %,T3,T3 %,T1,T1 %,REBT,REBD+O,ASI,BR,BP,CONTRA,TAPF,TAPC,MAT,FPF,FPC,#ERROR!,VAL
*0,D. Cacok,13:44,8,3/3,100%,0/0,0%,2/2,100%,2,1+1,1,0,2,0,0,0,0,5,3,-9,7
1,M. Forrest,20:05,20,3/5,60%,4/10,40%,2/2,100%,1,1+0,0,0,2,0,0,0,0,0,2,1,13
*2,S. Raieste,16:45,1,0/1,0%,0/0,0%,1/2,50%,4,4+0,1,0,1,0,0,0,0,5,1,-2,-1
*5,D. DeJulius,23:48,8,2/5,40%,1/7,14%,1/2,50%,0,0+0,2,1,0,2,0,0,0,3,3,-2,1
8,H. Sant-Roos,23:46,8,3/3,100%,0/1,0%,2/3,67%,5,4+1,1,1,1,2,0,0,0,0,4,-3,16
12,J. Radebaugh,12:41,2,1/3,33%,0/1,0%,0/0,0%,3,2+1,2,1,1,0,0,0,0,2,2,-1,4
13,W. Falk,9:12,0,0/0,0%,0/2,0%,0/0,0%,4,2+2,0,0,1,0,0,0,0,1,1,2,1
15,E. Cate,21:55,6,2/6,33%,0/0,0%,2/2,100%,6,3+3,0,0,0,0,0,0,0,2,2,-2,8
21,M. Diagné,3:50,0,0/1,0%,0/0,0%,0/0,0%,1,0+1,1,0,0,0,1,0,0,0,0,6,2
24,Z. Hicks,10:22,0,0/1,0%,0/1,0%,0/0,0%,2,0+2,0,1,2,0,0,0,0,2,0,-9,-3
*31,D. Ennis,27:19:00,14,1/5,20%,3/6,50%,3/7,43%,10,5+5,4,3,2,0,0,1,0,2,4,-4,19
*99,T. Nakic,16:33,5,1/1,100%,1/5,20%,0/0,0%,2,1+1,0,0,1,0,0,0,0,2,0,-2,0
,Equipo,,,,,,,,,5,2+3,,0,1,,,,,0,0,,4
