D,Nombre,Min,P,T2,T2 %,T3,T3 %,T1,T1 %,REBT,REBD+O,ASI,BR,BP,CONTRA,TAPF,TAPC,MAT,FPF,FPC,#ERROR!,VAL
0,D. Cacok,19:21,24,9/13,69%,0/0,0%,6/6,100%,5,2+3,3,3,1,4,0,0,3,3,4,16,31
1,M. Forrest,16:43,14,3/4,75%,2/6,33%,2/4,50%,1,0+1,3,0,0,2,0,1,0,2,2,4,10
*2,S. Raieste,22:07,11,4/5,80%,0/2,0%,3/3,100%,5,4+1,1,1,1,2,1,1,1,3,4,-5,15
*5,D. DeJulius,23:33,10,2/7,29%,2/5,40%,0/0,0%,0,0+0,4,1,2,4,0,0,0,1,5,9,9
6,D. García,,,,,,,,,,,,,,,,,,,,,
8,H. Sant-Roos,26:27:00,7,2/3,67%,1/1,100%,0/0,0%,3,3+0,3,2,1,2,0,0,0,3,1,11,11
12,J. Radebaugh,17:46,13,2/3,67%,3/7,43%,0/0,0%,1,1+0,3,2,0,5,0,1,0,1,0,6,12
13,W. Falk,,,,,,,,,,,,,,,,,,,,,
*15,E. Cate,20:39,10,5/5,100%,0/0,0%,0/0,0%,3,1+2,0,0,0,0,0,0,0,2,0,-5,11
30,K. Martin,3:46,0,0/0,0%,0/1,0%,0/0,0%,0,0+0,0,0,0,0,0,0,0,3,0,2,-4
*31,D. Ennis,23:28,12,2/3,67%,2/4,50%,2/2,100%,1,1+0,5,1,2,5,0,0,0,2,2,6,14
*99,T. Nakic,26:10:00,5,1/1,100%,1/5,20%,0/0,0%,3,2+1,2,3,0,0,1,0,0,2,4,11,12
,Equipo,,,,,,,,,3,2+1,,0,0,,,,,0,0,,3
