D,Nombre,Min,P,T2,T2 %,T3,T3 %,T1,T1 %,REBT,REBD+O,ASI,BR,BP,CONTRA,TAPF,TAPC,MAT,FPF,FPC,#ERROR!,VAL
*0,D. Cacok,22:30,23,7/8,88%,0/0,0%,9/10,90%,5,2+3,0,0,2,0,0,0,1,5,6,-3,25
1,M. Forrest,13:15,4,2/3,67%,0/3,0%,0/0,0%,1,1+0,2,0,2,2,0,0,0,2,2,-6,1
2,S. Raieste,21:45,0,0/0,0%,0/3,0%,0/0,0%,3,2+1,1,0,1,0,0,0,0,4,0,-1,-4
*5,D. DeJulius,26:36:00,19,1/3,33%,5/10,50%,2/2,100%,1,1+0,3,0,2,2,0,1,0,1,2,7,14
*8,H. Sant-Roos,18:24,2,0/0,0%,0/1,0%,2/4,50%,3,3+0,0,1,0,0,0,0,0,2,2,2,3
12,J. Radebaugh,14:13,8,1/2,50%,2/4,50%,0/0,0%,2,2+0,1,0,0,2,0,0,0,1,1,-4,8
13,W. Falk,7:23,0,0/0,0%,0/0,0%,0/0,0%,1,1+0,0,0,0,0,0,0,0,1,0,-6,0
15,E. Cate,16:56,4,2/2,100%,0/0,0%,0/2,0%,3,3+0,1,0,2,0,0,0,1,4,2,5,2
16,R. López,,,,,,,,,,,,,,,,,,,,,
*30,K. Martin,14:56,6,0/2,0%,2/2,100%,0/0,0%,3,3+0,0,1,1,0,0,0,0,1,1,-11,7
*31,D. Ennis,25:47:00,8,0/1,0%,2/4,50%,2/3,67%,4,4+0,9,0,1,0,0,0,0,2,4,5,18
99,T. Nakic,18:15,10,1/1,100%,2/4,50%,2/2,100%,5,3+2,1,0,1,0,0,0,0,3,1,17,11
,Equipo,,,,,,,,,1,0+1,,1,3,,,,,1,0,,-2
