D,Nombre,Min,P,T2,T2 %,T3,T3 %,T1,T1 %,REBT,REBD+O,ASI,BR,BP,CONTRA,TAPF,TAPC,MAT,FPF,FPC,#ERROR!,VAL
0,D. Cacok,21:07,9,3/6,50%,0/0,0%,3/5,60%,3,3+0,0,2,2,2,1,0,1,4,4,8,8
1,M. Forrest,24:31:00,30,10/12,83%,2/7,29%,4/4,100%,2,1+1,3,0,5,4,0,0,0,0,2,24,25
*2,S. Raieste,22:58,7,1/5,20%,1/2,50%,2/4,50%,7,3+4,1,0,2,0,0,1,0,4,2,-2,3
*5,D. DeJulius,15:29,7,2/5,40%,1/6,17%,0/0,0%,2,2+0,0,0,1,0,0,0,0,0,1,-12,1
8,H. Sant-Roos,24:14:00,10,2/3,67%,2/2,100%,0/0,0%,6,4+2,1,1,2,2,0,1,1,2,2,15,14
12,J. Radebaugh,14:48,7,2/2,100%,1/2,50%,0/0,0%,0,0+0,2,1,0,2,1,0,0,3,0,7,7
13,W. Falk,26:33:00,2,1/6,17%,0/1,0%,0/0,0%,14,5+9,0,0,0,0,0,1,0,3,1,23,7
*15,E. Cate,18:53,2,1/1,100%,0/0,0%,0/0,0%,5,4+1,1,1,0,0,1,0,0,2,0,4,8
16,R. López,,,,,,,,,,,,,,,,,,,,,
21,M. Diagné,,,,,,,,,,,,,,,,,,,,,
*24,Z. Hicks,5:09,0,0/0,0%,0/1,0%,0/0,0%,0,0+0,0,0,1,0,0,0,0,3,0,-11,-5
*31,D. Ennis,26:18:00,18,5/7,71%,1/6,17%,5/7,71%,5,4+1,4,1,0,4,0,1,0,3,3,4,18
,Equipo,,,,,,,,,3,3+0,,0,0,,,,,0,0,,3
