D,Nombre,Min,P,T2,T2 %,T3,T3 %,T1,T1 %,REBT,REBD+O,ASI,BR,BP,CONTRA,TAPF,TAPC,MAT,FPF,FPC,#ERROR!,VAL
0,D. Cacok,13:48,13,5/6,83%,0/0,0%,3/3,100%,5,3+2,2,1,0,0,0,0,0,4,5,3,21
1,M. Forrest,15:11,11,1/4,25%,1/7,14%,6/8,75%,0,0+0,2,1,1,0,0,2,0,4,5,-3,1
*2,S. Raieste,23:07,8,1/1,100%,2/3,67%,0/0,0%,5,4+1,2,3,1,0,0,0,1,4,2,-1,14
*5,D. DeJulius,24:11:00,23,6/10,60%,3/9,33%,2/3,67%,1,0+1,1,1,3,0,0,2,0,1,2,9,11
8,H. Sant-Roos,23:05,5,2/4,50%,0/1,0%,1/2,50%,4,4+0,0,1,0,2,0,0,0,1,1,21,6
12,J. Radebaugh,18:23,2,1/1,100%,0/2,0%,0/0,0%,5,5+0,2,1,2,0,0,0,0,4,1,7,3
*13,W. Falk,14:49,2,1/3,33%,0/1,0%,0/0,0%,4,1+3,0,0,0,0,1,1,0,2,1,8,2
*15,E. Cate,23:12,11,5/8,63%,0/0,0%,1/1,100%,10,7+3,0,0,1,0,0,0,1,2,3,7,18
21,M. Diagné,2:19,0,0/0,0%,0/0,0%,0/0,0%,0,0+0,0,0,0,0,0,0,0,0,0,-2,0
24,Z. Hicks,3:36,0,0/1,0%,0/0,0%,0/0,0%,2,1+1,0,0,0,0,0,0,0,1,0,1,0
*31,D. Ennis,22:15,3,1/5,20%,0/3,0%,1/2,50%,3,3+0,5,2,2,0,0,0,0,3,2,1,2
99,T. Nakic,16:04,8,0/0,0%,2/4,50%,2/2,100%,3,2+1,0,0,0,3,1,0,0,0,0,-16,10
,Equipo,,,,,,,,,2,1+1,,0,3,,,,,1,0,,-2
