D,Nombre,Min,P,T2,T2 %,T3,T3 %,T1,T1 %,REBT,REBD+O,ASI,BR,BP,CONTRA,TAPF,TAPC,MAT,FPF,FPC,#ERROR!,VAL
*0,D. Cacok,21:14,21,8/12,67%,0/0,0%,5/8,63%,7,4+3,1,0,2,0,0,0,0,3,8,8,25
1,M. Forrest,22:28,14,1/4,25%,4/8,50%,0/2,0%,0,0+0,4,1,3,0,0,0,0,2,3,11,8
*2,S. Raieste,21:03,3,1/2,50%,0/3,0%,1/1,100%,5,4+1,1,0,0,2,1,0,1,4,1,0,3
*5,D. DeJulius,22:50,12,3/6,50%,1/3,33%,3/3,100%,1,1+0,4,0,4,0,0,0,0,5,2,15,5
8,H. Sant-Roos,24:07:00,12,1/5,20%,2/2,100%,4/4,100%,6,6+0,1,2,3,0,0,0,0,2,2,14,14
13,W. Falk,15:33,5,1/1,100%,0/0,0%,3/4,75%,2,2+0,0,1,0,2,0,0,0,4,2,15,5
15,E. Cate,18:46,0,0/5,0%,0/0,0%,0/0,0%,5,3+2,0,2,1,0,1,0,0,3,2,11,1
20,P. Sevilla,1:51,0,0/0,0%,0/0,0%,0/0,0%,0,0+0,0,0,0,0,0,0,0,0,0,2,0
21,M. Diagné,,,,,,,,,,,,,,,,,,,,,
30,K. Martin,11:36,10,2/3,67%,1/2,50%,3/3,100%,3,2+1,1,1,0,2,0,0,0,1,2,-2,14
*31,D. Ennis,27:41:00,19,4/7,57%,3/5,60%,2/2,100%,0,0+0,7,0,3,4,0,0,0,2,3,15,19
*99,T. Nakic,12:51,5,1/1,100%,1/1,100%,0/0,0%,2,2+0,0,2,1,2,0,0,0,0,1,6,9
,Equipo,,,,,,,,,6,5+1,,0,1,,,,,1,0,,4
