D,Nombre,Min,P,T2,T2 %,T3,T3 %,T1,T1 %,REBT,REBD+O,ASI,BR,BP,CONTRA,TAPF,TAPC,MAT,FPF,FPC,#ERROR!,VAL
0,D. Cacok,16:41,8,3/6,50%,0/0,0%,2/2,100%,8,5+3,1,2,1,0,0,0,2,3,2,8,14
1,M. Forrest,19:49,11,1/2,50%,3/7,43%,0/0,0%,4,3+1,6,0,4,0,0,1,0,1,2,10,12
*2,S. Raieste,22:49,17,5/6,83%,2/4,50%,1/2,50%,7,5+2,2,1,1,6,0,0,5,3,1,14,20
*5,D. DeJulius,20:11,6,0/2,0%,2/4,50%,0/0,0%,2,2+0,5,0,1,0,0,0,0,3,0,21,5
8,H. Sant-Roos,14:51,5,0/1,0%,1/3,33%,2/2,100%,3,3+0,2,0,1,0,0,0,0,2,1,17,5
12,J. Radebaugh,16:17,11,1/1,100%,2/3,67%,3/3,100%,2,1+1,2,1,2,2,0,0,0,1,2,5,14
13,W. Falk,18:32,5,2/4,50%,0/1,0%,1/1,100%,2,0+2,0,1,1,0,0,0,1,3,1,7,2
*15,E. Cate,17:22,2,1/1,100%,0/0,0%,0/0,0%,4,3+1,3,0,1,0,0,0,0,2,1,22,7
21,M. Diagné,5:57,4,2/3,67%,0/0,0%,0/0,0%,0,0+0,0,0,0,0,0,0,1,1,0,1,2
24,Z. Hicks,4:20,0,0/0,0%,0/1,0%,0/0,0%,0,0+0,0,0,1,0,0,0,0,1,0,-1,-3
*31,D. Ennis,23:43,14,3/6,50%,2/6,33%,2/2,100%,4,3+1,6,4,1,4,0,1,1,0,1,26,20
*99,T. Nakic,19:28,12,0/1,0%,2/4,50%,6/6,100%,3,1+2,3,0,0,0,0,0,0,2,4,25,17
,Equipo,,,,,,,,,4,2+2,,0,1,,,,,0,0,,3
