D,Nombre,Min,P,T2,T2 %,T3,T3 %,T1,T1 %,REBT,REBD+O,ASI,BR,BP,CONTRA,TAPF,TAPC,MAT,FPF,FPC,#ERROR!,VAL
*0,D. Cacok,12:52,2,1/3,33%,0/0,0%,0/0,0%,3,0+3,0,1,1,0,0,1,0,2,4,-6,4
1,M. Forrest,10:51,10,3/4,75%,1/3,33%,1/3,33%,2,0+2,0,0,1,0,0,0,0,0,1,-6,7
*2,S. Raieste,20:00,7,0/1,0%,1/2,50%,4/4,100%,5,4+1,0,1,1,0,0,0,0,4,2,-12,8
*5,D. DeJulius,29:09:00,15,3/10,30%,3/7,43%,0/2,0%,1,1+0,3,2,1,3,0,0,0,1,2,-7,8
8,H. Sant-Roos,12:12,4,1/2,50%,0/1,0%,2/3,67%,1,1+0,1,0,1,2,1,0,0,1,2,-7,4
12,J. Radebaugh,18:50,1,0/0,0%,0/3,0%,1/2,50%,3,3+0,1,2,1,0,0,0,0,4,2,-10,0
13,W. Falk,5:55,0,0/0,0%,0/0,0%,0/0,0%,1,0+1,0,0,0,0,0,0,0,2,0,5,-1
15,E. Cate,20:49,11,3/5,60%,0/0,0%,5/6,83%,5,2+3,0,1,2,0,1,1,0,2,6,-3,16
21,M. Diagné,4:08,2,1/1,100%,0/0,0%,0/0,0%,2,1+1,0,1,2,0,0,0,0,1,0,1,2
24,Z. Hicks,11:01,0,0/0,0%,0/5,0%,0/0,0%,0,0+0,0,0,0,0,0,0,0,2,0,-12,-7
*31,D. Ennis,28:54:00,22,6/10,60%,3/7,43%,1/2,50%,5,3+2,5,2,2,8,0,0,0,2,3,-4,24
*99,T. Nakic,25:19:00,9,0/0,0%,3/5,60%,0/0,0%,2,2+0,2,1,1,3,1,1,0,1,1,-4,11
,Equipo,,,,,,,,,2,2+0,,0,2,,,,,1,0,,-1
