D,Nombre,Min,P,T2,T2 %,T3,T3 %,T1,T1 %,REBT,REBD+O,ASI,BR,BP,CONTRA,TAPF,TAPC,MAT,FPF,FPC,#ERROR!,VAL
*0,D. Cacok,13:35,4,2/2,100%,0/0,0%,0/0,0%,0,0+0,1,0,2,0,0,0,1,4,1,-9,0
1,M. Forrest,15:44,11,1/6,17%,2/4,50%,3/4,75%,2,2+0,2,1,1,3,0,0,0,1,3,-3,9
*2,S. Raieste,24:05:00,5,1/2,50%,1/2,50%,0/0,0%,7,6+1,3,2,3,2,4,1,1,3,0,10,12
*5,D. DeJulius,23:34,25,8/10,80%,2/6,33%,3/4,75%,4,3+1,4,0,1,3,0,0,0,1,6,11,30
8,H. Sant-Roos,17:38,10,3/5,60%,1/2,50%,1/2,50%,4,3+1,1,0,0,2,0,0,0,0,2,-9,13
12,J. Radebaugh,12:28,2,1/2,50%,0/1,0%,0/0,0%,1,0+1,1,0,0,0,0,0,0,2,1,-10,1
13,W. Falk,15:24,0,0/1,0%,0/2,0%,0/0,0%,4,3+1,0,0,1,0,0,0,0,1,0,3,-1
15,E. Cate,26:12:00,12,6/9,67%,0/0,0%,0/2,0%,6,4+2,0,1,2,2,0,1,0,3,2,15,10
21,M. Diagné,,,,,,,,,,,,,,,,,,,,,
24,Z. Hicks,,,,,,,,,,,,,,,,,,,,,
*31,D. Ennis,27:32:00,7,3/6,50%,0/2,0%,1/2,50%,6,5+1,1,0,3,4,0,0,0,1,4,15,8
*99,T. Nakic,23:48,13,1/1,100%,2/5,40%,5/6,83%,4,3+1,1,1,0,0,0,0,0,3,2,2,14
,Equipo,,,,,,,,,2,2+0,,0,1,,,,,1,0,,0
