D,Nombre,Min,P,T2,T2 %,T3,T3 %,T1,T1 %,REBT,REBD+O,ASI,BR,BP,CONTRA,TAPF,TAPC,MAT,FPF,FPC,#ERROR!,VAL
0,D. Cacok,19:57,16,5/10,50%,0/0,0%,6/8,75%,9,5+4,0,0,1,0,1,0,0,4,6,-14,20
1,M. Forrest,14:50,10,2/2,100%,2/3,67%,0/0,0%,3,3+0,1,0,3,5,0,0,0,1,1,-16,10
2,S. Raieste,21:38,2,1/2,50%,0/3,0%,0/0,0%,7,4+3,1,0,0,0,0,0,0,5,1,-19,2
*5,D. DeJulius,25:10:00,25,7/15,47%,1/5,20%,8/9,89%,2,2+0,1,0,3,2,0,1,0,1,5,2,15
*8,H. Sant-Roos,15:34,2,0/2,0%,0/2,0%,2/2,100%,2,2+0,2,3,1,0,0,1,0,4,2,-3,1
12,J. Radebaugh,21:18,9,1/1,100%,2/2,100%,1/2,50%,2,2+0,2,1,0,0,0,0,0,3,2,-7,12
13,W. Falk,10:29,3,1/2,50%,0/0,0%,1/3,33%,2,0+2,1,0,0,0,0,0,0,4,2,-2,1
*15,E. Cate,19:58,10,4/7,57%,0/0,0%,2/2,100%,6,4+2,1,1,0,0,0,0,0,1,2,0,16
16,R. López,,,,,,,,,,,,,,,,,,,,,
24,Z. Hicks,5:47,0,0/0,0%,0/0,0%,0/0,0%,0,0+0,0,0,0,0,0,0,0,1,0,-2,-1
*31,D. Ennis,27:06:00,5,1/6,17%,1/5,20%,0/0,0%,3,1+2,3,1,0,0,0,1,0,1,0,-5,1
*99,T. Nakic,18:13,0,0/0,0%,0/2,0%,0/0,0%,0,0+0,1,1,1,0,0,0,0,2,1,-4,-2
,Equipo,,,,,,,,,5,2+3,,0,5,,,,,1,0,,-1
