D,Nombre,Min,P,T2,T2 %,T3,T3 %,T1,T1 %,REBT,REBD+O,ASI,BR,BP,CONTRA,TAPF,TAPC,MAT,FPF,FPC,#ERROR!,VAL
*0,D. Cacok,21:26,19,9/11,82%,0/0,0%,1/4,25%,8,6+2,3,1,1,0,0,0,2,3,3,29,25
1,M. Forrest,19:39,17,2/3,67%,3/5,60%,4/5,80%,3,3+0,6,0,1,0,0,0,0,2,3,16,22
*2,S. Raieste,20:39,12,0/1,0%,2/3,67%,6/10,60%,9,6+3,2,0,1,0,0,0,0,4,5,21,17
*5,D. DeJulius,26:04:00,15,4/7,57%,2/6,33%,1/2,50%,1,1+0,3,0,4,2,0,0,0,2,3,14,8
6,D. García,,,,,,,,,,,,,,,,,,,,,
8,H. Sant-Roos,26:39:00,14,5/6,83%,0/0,0%,4/4,100%,8,7+1,3,3,0,4,0,0,0,1,3,10,29
13,W. Falk,5:09,0,0/0,0%,0/0,0%,0/2,0%,0,0+0,0,0,0,0,0,0,0,2,1,7,-3
15,E. Cate,12:26,3,1/2,50%,0/0,0%,1/2,50%,2,0+2,1,0,1,0,1,0,1,3,2,-4,3
21,M. Diagné,6:08,2,0/0,0%,0/0,0%,2/2,100%,1,1+0,0,0,0,0,0,0,0,0,1,-3,4
24,Z. Hicks,7:57,0,0/0,0%,0/1,0%,0/0,0%,2,2+0,0,0,0,0,0,0,0,1,0,-4,0
*31,D. Ennis,26:44:00,17,4/8,50%,3/8,38%,0/0,0%,3,3+0,4,1,2,2,0,1,0,4,2,7,11
*99,T. Nakic,27:09:00,11,0/0,0%,3/4,75%,2/2,100%,1,0+1,3,0,2,0,0,0,0,3,3,17,12
,Equipo,,,,,,,,,2,1+1,,0,0,,,,,0,0,,2
