D,Nombre,Min,P,T2,T2 %,T3,T3 %,T1,T1 %,REBT,REBD+O,ASI,BR,BP,CONTRA,TAPF,TAPC,MAT,FPF,FPC,#ERROR!,VAL
0,D. Cacok,21:43,11,3/6,50%,0/0,0%,5/6,83%,7,4+3,0,0,1,2,0,0,1,4,7,25,16
1,M. Forrest,19:40,16,1/2,50%,3/9,33%,5/5,100%,3,3+0,1,0,2,0,0,0,0,2,4,11,13
2,S. Raieste,22:44,9,2/2,100%,1/3,33%,2/2,100%,4,3+1,0,0,1,0,0,0,0,3,2,23,9
*5,D. DeJulius,20:08,11,4/8,50%,1/5,20%,0/0,0%,3,2+1,3,1,0,0,0,0,0,1,0,7,9
*8,H. Sant-Roos,14:02,6,0/0,0%,1/2,50%,3/4,75%,2,1+1,0,2,2,3,0,0,0,3,2,3,5
12,J. Radebaugh,23:24,10,1/1,100%,2/6,33%,2/2,100%,5,5+0,3,1,0,2,0,0,0,3,2,32,14
13,W. Falk,9:54,2,1/1,100%,0/1,0%,0/0,0%,5,2+3,0,0,0,0,0,0,0,2,0,13,4
*15,E. Cate,18:17,4,1/3,33%,0/0,0%,2/4,50%,6,3+3,0,2,0,0,0,0,0,1,2,-3,9
21,M. Diagné,,,,,,,,,,,,,,,,,,,,,
24,Z. Hicks,9:58,3,0/0,0%,1/2,50%,0/0,0%,1,1+0,0,0,0,0,1,0,0,1,0,8,3
*31,D. Ennis,20:02,11,1/3,33%,1/5,20%,6/6,100%,2,2+0,1,1,2,0,0,0,0,0,3,-10,10
*99,T. Nakic,20:08,10,2/4,50%,1/3,33%,3/3,100%,0,0+0,1,0,0,2,0,0,0,2,1,1,6
,Equipo,,,,,,,,,5,5+0,,0,0,,,,,0,0,,5
