D,Nombre,Min,P,T2,T2 %,T3,T3 %,T1,T1 %,REBT,REBD+O,ASI,BR,BP,CONTRA,TAPF,TAPC,MAT,FPF,FPC,#ERROR!,VAL
*0,D. Cacok,12:21,7,3/4,75%,0/0,0%,1/4,25%,3,2+1,2,0,1,0,1,0,0,3,3,19,8
1,M. Forrest,18:40,16,2/3,67%,3/6,50%,3/4,75%,2,0+2,1,0,3,3,0,1,0,3,3,21,10
*2,S. Raieste,17:57,2,0/2,0%,0/2,0%,2/2,100%,9,8+1,3,2,0,0,1,0,0,4,2,21,11
*5,D. DeJulius,21:20,15,0/2,0%,5/7,71%,0/0,0%,1,1+0,6,0,2,0,0,0,0,1,1,15,16
8,H. Sant-Roos,20:53,2,1/2,50%,0/2,0%,0/0,0%,7,7+0,2,0,2,0,0,0,0,0,3,15,9
12,J. Radebaugh,18:40,15,2/2,100%,3/4,75%,2/3,67%,5,4+1,1,1,0,5,0,0,0,1,4,19,23
13,W. Falk,1:10,0,0/0,0%,0/0,0%,0/0,0%,0,0+0,0,0,0,0,0,0,0,0,0,0,0
15,E. Cate,22:34,4,2/2,100%,0/0,0%,0/2,0%,8,6+2,3,0,0,0,1,0,0,4,1,16,11
21,M. Diagné,5:05,0,0/2,0%,0/0,0%,0/0,0%,1,0+1,1,1,0,0,0,0,0,2,0,1,-1
24,Z. Hicks,13:07,6,0/0,0%,2/4,50%,0/0,0%,1,1+0,0,0,0,0,0,0,0,4,0,18,1
*31,D. Ennis,21:20,30,2/6,33%,8/12,67%,2/2,100%,4,4+0,0,0,1,3,0,4,0,1,3,17,23
*99,T. Nakic,26:53:00,10,2/2,100%,1/4,25%,3/4,75%,3,1+2,3,0,1,0,0,0,0,2,2,18,11
,Equipo,,,,,,,,,2,1+1,,0,1,,,,,0,0,,1
