D,Nombre,Min,P,T2,T2 %,T3,T3 %,T1,T1 %,REBT,REBD+O,ASI,BR,BP,CONTRA,TAPF,TAPC,MAT,FPF,FPC,#ERROR!,VAL
*0,D. Cacok,18:08,9,4/7,57%,0/0,0%,1/2,50%,10,7+3,0,2,1,2,0,1,1,5,3,-6,13
1,M. Forrest,18:40,6,0/2,0%,2/9,22%,0/0,0%,1,0+1,2,0,0,0,0,1,0,5,4,-2,-2
*2,S. Raieste,13:57,5,1/1,100%,1/4,25%,0/0,0%,3,1+2,0,2,0,0,2,0,0,5,0,-7,4
*5,D. DeJulius,27:24:00,20,7/11,64%,0/4,0%,6/7,86%,2,1+1,4,3,2,0,0,1,0,1,5,-17,21
8,H. Sant-Roos,9:56,0,0/1,0%,0/0,0%,0/0,0%,0,0+0,0,0,1,0,0,0,0,0,0,-1,-2
12,J. Radebaugh,24:54:00,13,1/2,50%,3/6,50%,2/2,100%,1,1+0,2,0,0,3,1,0,0,0,2,-8,15
13,W. Falk,11:53,0,0/3,0%,0/1,0%,0/0,0%,2,2+0,0,0,0,0,0,1,0,2,1,-11,-4
15,E. Cate,12:48,8,2/3,67%,0/0,0%,4/4,100%,1,0+1,0,2,0,0,0,0,0,3,2,-13,9
21,M. Diagné,5:38,0,0/0,0%,0/0,0%,0/0,0%,0,0+0,0,0,0,0,0,0,0,1,0,-5,-1
30,K. Martin,13:39,8,1/3,33%,2/3,67%,0/0,0%,1,1+0,0,1,0,3,0,1,0,2,0,-4,4
*31,D. Ennis,24:04:00,15,4/7,57%,2/8,25%,1/1,100%,2,2+0,2,1,1,9,0,0,0,2,2,-28,10
*99,T. Nakic,18:59,0,0/3,0%,0/2,0%,0/0,0%,2,1+1,2,0,0,0,0,1,0,1,0,-28,-3
,Equipo,,,,,,,,,4,1+3,,0,1,,,,,0,0,,3
