D,Nombre,Min,P,T2,T2 %,T3,T3 %,T1,T1 %,REBT,REBD+O,ASI,BR,BP,CONTRA,TAPF,TAPC,MAT,FPF,FPC,#ERROR!,VAL
*0,D. Cacok,21:22,20,9/10,90%,0/0,0%,2/3,67%,6,4+2,0,1,4,0,0,1,3,5,5,3,20
1,M. Forrest,19:07,19,3/7,43%,1/4,25%,10/13,77%,1,1+0,3,0,3,0,0,0,0,2,5,8,13
*2,S. Raieste,22:09,11,1/1,100%,3/4,75%,0/0,0%,9,8+1,0,0,1,2,0,0,0,3,2,6,17
*5,D. DeJulius,19:58,6,3/7,43%,0/4,0%,0/0,0%,1,0+1,7,1,1,0,0,0,0,2,0,-1,4
8,H. Sant-Roos,17:56,0,0/0,0%,0/3,0%,0/0,0%,2,2+0,1,0,0,0,0,0,0,0,1,-5,1
12,J. Radebaugh,13:40,0,0/1,0%,0/3,0%,0/0,0%,4,3+1,2,0,0,0,0,1,0,1,0,0,0
13,W. Falk,5:02,2,0/0,0%,0/0,0%,2/2,100%,3,2+1,0,0,1,0,0,0,0,0,2,-2,6
15,E. Cate,18:36,2,1/3,33%,0/0,0%,0/2,0%,5,2+3,1,1,2,0,2,1,0,1,2,0,5
21,M. Diagné,,,,,,,,,,,,,,,,,,,,,
*24,Z. Hicks,20:14,11,0/0,0%,3/5,60%,2/3,67%,3,3+0,0,0,0,3,0,0,0,3,1,2,9
*31,D. Ennis,27:12:00,4,1/2,50%,0/3,0%,2/2,100%,5,4+1,9,0,4,0,0,1,0,3,2,1,8
99,T. Nakic,14:44,6,0/0,0%,2/4,50%,0/0,0%,1,0+1,0,3,0,0,0,0,0,2,0,3,6
,Equipo,,,,,,,,,1,1+0,,0,2,,,,,0,0,,-1
