D,Nombre,Min,P,T2,T2 %,T3,T3 %,T1,T1 %,REBT,REBD+O,ASI,BR,BP,CONTRA,TAPF,TAPC,MAT,FPF,FPC,#ERROR!,VAL
1,M. Forrest,13:25,5,1/2,50%,1/4,25%,0/0,0%,1,1+0,1,0,2,0,0,0,0,2,1,2,0
*2,S. Raieste,18:49,2,1/1,100%,0/1,0%,0/0,0%,6,6+0,0,0,2,0,0,0,0,5,0,1,0
*5,D. DeJulius,27:58:00,11,1/8,13%,3/5,60%,0/0,0%,2,2+0,2,0,0,0,0,1,0,1,1,5,5
8,H. Sant-Roos,20:44,9,3/5,60%,0/0,0%,3/4,75%,4,4+0,2,2,1,4,0,0,1,1,5,3,17
12,J. Radebaugh,13:13,5,1/1,100%,1/3,33%,0/0,0%,0,0+0,0,2,0,5,0,0,1,2,2,-4,5
13,W. Falk,2:38,0,0/0,0%,0/2,0%,0/0,0%,0,0+0,0,0,0,0,0,0,0,0,0,-2,-2
*15,E. Cate,27:02:00,15,5/9,56%,0/0,0%,5/6,83%,11,6+5,1,0,1,0,3,0,0,2,4,1,26
16,R. López,0:03,0,0/0,0%,0/0,0%,0/0,0%,0,0+0,0,0,0,0,0,0,0,0,0,0,0
21,M. Diagné,12:58,6,1/3,33%,0/0,0%,4/6,67%,2,2+0,0,1,1,0,0,0,0,4,4,0,4
24,Z. Hicks,4:44,0,0/0,0%,0/1,0%,0/0,0%,1,1+0,0,0,0,0,0,0,0,1,0,-2,-1
*31,D. Ennis,28:19:00,22,5/11,45%,1/6,17%,9/10,90%,3,3+0,6,1,1,0,0,1,0,2,8,2,24
*99,T. Nakic,30:07:00,5,0/1,0%,1/3,33%,2/2,100%,6,5+1,2,1,0,0,0,1,0,1,3,9,12
,Equipo,,,,,,,,,7,2+5,,0,0,,,,,0,0,,7
