D,Nombre,Min,P,T2,T2 %,T3,T3 %,T1,T1 %,REBT,REBD+O,ASI,BR,BP,CONTRA,TAPF,TAPC,MAT,FPF,FPC,#ERROR!,VAL
*0,D. Cacok,20:46,10,3/3,100%,0/0,0%,4/4,100%,3,2+1,1,1,3,2,0,0,0,3,2,-1,11
1,M. Forrest,16:17,5,0/1,0%,1/6,17%,2/2,100%,1,1+0,0,1,2,0,0,0,0,3,2,-14,-2
*2,S. Raieste,25:56:00,5,2/5,40%,0/3,0%,1/2,50%,4,4+0,0,0,1,4,0,0,1,3,1,4,-1
*5,D. DeJulius,27:16:00,26,9/12,75%,2/4,50%,2/3,67%,2,1+1,1,1,1,4,0,0,0,0,4,-6,27
8,H. Sant-Roos,21:45,13,4/7,57%,0/4,0%,5/5,100%,4,4+0,3,2,1,0,0,0,0,3,4,-14,15
12,J. Radebaugh,21:37,10,4/6,67%,0/2,0%,2/3,67%,2,1+1,0,3,1,2,0,1,0,3,2,-14,7
13,W. Falk,8:42,0,0/0,0%,0/1,0%,0/0,0%,0,0+0,0,0,0,0,0,0,0,2,0,-11,-3
15,E. Cate,14:36,6,3/4,75%,0/0,0%,0/1,0%,5,1+4,0,0,0,0,0,0,1,3,2,-4,8
21,M. Diagné,4:38,0,0/0,0%,0/0,0%,0/0,0%,0,0+0,1,0,0,0,0,0,0,0,0,-11,1
24,Z. Hicks,1:55,0,0/0,0%,0/0,0%,0/0,0%,0,0+0,0,0,0,0,0,0,0,0,0,-2,0
*31,D. Ennis,14:33,0,0/0,0%,0/0,0%,0/0,0%,1,1+0,3,0,0,0,0,0,0,2,1,2,3
*99,T. Nakic,21:59,5,1/1,100%,1/2,50%,0/0,0%,2,0+2,0,0,0,2,0,0,0,0,1,-9,7
,Equipo,,,,,,,,,2,2+0,,1,1,,,,,0,0,,2
