#;PTS;REB;ASI;ROB;PER;PTSCONTRA;TAP;TAPR;MAT;FP;FPR;+/-;VAL;Jornada;Titular;T2A;T2I;T2F;T3A;T3I;T3F;TLA;TLI;TLF;RD;RO;SEG
31;19;0;7;0;3;4;0;0;0;2;3;15;19;20;True;4;7;3;3;5;2;2;2;0;0;0;1661
31;15;2;2;1;1;9;0;0;0;2;2;-28;10;21;True;4;7;3;2;8;6;1;1;0;2;0;1444
99;12;3;3;0;0;0;0;0;0;2;4;25;17;1;True;0;1;1;2;4;2;6;6;0;1;2;1168
99;10;0;1;0;0;2;0;0;0;2;1;1;6;2;True;2;4;2;1;3;2;3;3;0;0;0;1208
99;5;2;0;0;0;2;0;0;0;0;1;-9;7;3;True;1;1;0;1;2;1;0;0;0;0;2;1319
99;13;4;1;1;0;0;0;0;0;3;2;2;14;4;True;1;1;0;2;5;3;5;6;1;3;1;1428
99;6;1;0;3;0;0;0;0;0;2;0;3;6;5;False;0;0;0;2;4;2;0;0;0;0;1;884
99;6;1;1;1;1;4;1;0;0;2;0;8;2;6;False;3;4;1;0;4;4;0;0;0;0;1;1212
99;9;2;2;1;1;3;1;1;0;1;1;-4;11;7;True;0;0;0;3;5;2;0;0;0;2;0;1519
99;10;3;3;0;1;0;0;0;0;2;2;18;11;8;True;2;2;0;1;4;3;3;4;1;1;2;1613
99;11;1;3;0;2;0;0;0;0;3;3;17;12;9;True;0;0;0;3;4;1;2;2;0;0;1;1629
99;5;6;2;1;0;0;0;1;0;1;3;9;12;10;True;0;1;1;1;3;2;2;2;0;5;1;1807
99;8;3;0;0;0;3;1;0;0;0;0;-16;10;12;False;0;0;0;2;4;2;2;2;0;2;1;964
99;0;2;0;0;0;0;0;0;0;3;0;-2;-5;13;False;0;1;1;0;3;3;0;0;0;2;0;602
99;5;2;0;0;1;0;0;0;0;2;0;-2;0;14;True;1;1;0;1;5;4;0;0;0;1;1;993
99;0;0;1;1;1;0;0;0;0;2;1;-4;-2;15;True;0;0;0;0;2;2;0;0;0;0;0;1093
99;11;3;0;0;0;3;0;0;0;2;3;-4;12;16;True;0;1;1;3;5;2;2;2;0;2;1;1044
99;10;1;0;1;0;0;0;0;0;1;2;-2;10;17;True;0;0;0;3;6;3;1;1;0;1;0;1930
99;10;5;1;0;1;0;0;0;0;3;1;17;11;18;False;1;1;0;2;4;2;2;2;0;3;2;1095
99;5;3;2;3;0;0;1;0;0;2;4;11;12;19;True;1;1;0;1;5;4;0;0;0;2;1;1570
99;5;2;0;2;1;2;0;0;0;0;1;6;9;20;True;1;1;0;1;1;0;0;0;0;2;0;771
99;0;2;2;0;0;0;0;1;0;1;0;-28;-3;21;True;0;3;3;0;2;2;0;0;0;1;1;1139
UCAM;0;4;0;0;1;0;0;0;0;0;0;0;3;1;False;0;0;0;0;0;0;0;0;0;2;2;0
UCAM;0;5;0;0;0;0;0;0;0;0;0;0;5;2;False;0;0;0;0;0;0;0;0;0;5;0;0
UCAM;0;2;0;1;1;0;0;0;0;0;0;0;2;3;False;0;0;0;0;0;0;0;0;0;2;0;0
UCAM;0;2;0;0;1;0;0;0;0;1;0;0;0;4;False;0;0;0;0;0;0;0;0;0;2;0;0
UCAM;0;1;0;0;2;0;0;0;0;0;0;0;-1;5;False;0;0;0;0;0;0;0;0;0;1;0;0
UCAM;0;4;0;2;0;0;0;0;0;0;0;0;6;6;False;0;0;0;0;0;0;0;0;0;2;2;0
UCAM;0;2;0;0;2;0;0;0;0;1;0;0;-1;7;False;0;0;0;0;0;0;0;0;0;2;0;0
UCAM;0;2;0;0;1;0;0;0;0;0;0;0;1;8;False;0;0;0;0;0;0;0;0;0;1;1;0
UCAM;0;2;0;0;0;0;0;0;0;0;0;0;2;9;False;0;0;0;0;0;0;0;0;0;1;1;0
UCAM;0;7;0;0;0;0;0;0;0;0;0;0;7;10;False;0;0;0;0;0;0;0;0;0;2;5;0
UCAM;0;3;0;0;0;0;0;0;0;0;0;0;3;11;False;0;0;0;0;0;0;0;0;0;3;0;0
UCAM;0;2;0;0;3;0;0;0;0;1;0;0;-2;12;False;0;0;0;0;0;0;0;0;0;1;1;0
UCAM;0;2;0;0;1;0;0;0;0;1;0;0;0;13;False;0;0;0;0;0;0;0;0;0;0;2;0
UCAM;0;5;0;0;1;0;0;0;0;0;0;0;4;14;False;0;0;0;0;0;0;0;0;0;2;3;0
UCAM;0;5;0;0;5;0;0;0;0;1;0;0;-1;15;False;0;0;0;0;0;0;0;0;0;2;3;0
UCAM;0;4;0;0;0;0;0;0;0;0;0;0;4;16;False;0;0;0;0;0;0;0;0;0;3;1;0
UCAM;0;1;0;1;0;0;0;0;0;0;0;0;2;17;False;0;0;0;0;0;0;0;0;0;0;1;0
UCAM;0;1;0;1;3;0;0;0;0;1;0;0;-2;18;False;0;0;0;0;0;0;0;0;0;0;1;0
UCAM;0;3;0;0;0;0;0;0;0;0;0;0;3;19;False;0;0;0;0;0;0;0;0;0;2;1;0
UCAM;0;6;0;0;1;0;0;0;0;1;0;0;4;20;False;0;0;0;0;0;0;0;0;0;5;1;0
UCAM;0;4;0;0;1;0;0;0;0;0;0;0;3;21;False;0;0;0;0;0;0;0;0;0;1;3;0
