#;PTS;REB;ASI;ROB;PER;PTSCONTRA;TAP;TAPR;MAT;FP;FPR;+/-;VAL;Jornada;Titular;T2A;T2I;T2F;T3A;T3I;T3F;TLA;TLI;TLF;RD;RO;SEG
02;3;6;2;1;1;0;0;0;0;3;2;-10;6;13;True;1;3;2;0;1;1;1;2;1;4;2;1503
02;1;4;1;0;1;0;0;0;0;5;1;-2;-1;14;True;0;1;1;0;0;0;1;2;1;4;0;1005
02;2;7;1;0;0;0;0;0;0;5;1;-19;2;15;False;1;2;1;0;3;3;0;0;0;4;3;1298
02;5;5;1;3;0;2;1;0;1;1;0;-3;12;16;True;1;2;1;1;2;1;0;0;0;2;3;1278
02;6;8;1;2;0;0;1;0;1;2;1;3;14;17;True;1;1;0;1;3;2;1;2;1;7;1;1467
02;0;3;1;0;1;0;0;0;0;4;0;-1;-4;18;False;0;0;0;0;3;3;0;0;0;2;1;1305
02;11;5;1;1;1;2;1;1;1;3;4;-5;15;19;True;4;5;1;0;2;2;3;3;0;4;1;1327
02;3;5;1;0;0;2;1;0;1;4;1;0;3;20;True;1;2;1;0;3;3;1;1;0;4;1;1263
02;5;3;0;2;0;0;2;0;0;5;0;-7;4;21;True;1;1;0;1;4;3;0;0;0;1;2;837
05;6;2;5;0;1;0;0;0;0;3;0;21;5;1;True;0;2;2;2;4;2;0;0;0;2;0;1211
05;11;3;3;1;0;0;0;0;0;1;0;7;9;2;True;4;8;4;1;5;4;0;0;0;2;1;1208
05;26;2;1;1;1;4;0;0;0;0;4;-6;27;3;True;9;12;3;2;4;2;2;3;1;1;1;1636
05;25;4;4;0;1;3;0;0;0;1;6;11;30;4;True;8;10;2;2;6;4;3;4;1;3;1;1414
05;6;1;7;1;1;0;0;0;0;2;0;-1;4;5;True;3;7;4;0;4;4;0;0;0;0;1;1198
05;22;1;4;2;2;0;0;0;0;2;4;10;25;6;True;5;7;2;3;4;1;3;4;1;1;0;1543
05;15;1;3;2;1;3;0;0;0;1;2;-7;8;7;True;3;10;7;3;7;4;0;2;2;1;0;1749
05;15;1;6;0;2;0;0;0;0;1;1;15;16;8;True;0;2;2;5;7;2;0;0;0;1;0;1280
05;15;1;3;0;4;2;0;0;0;2;3;14;8;9;True;4;7;3;2;6;4;1;2;1;1;0;1564
05;11;2;2;0;0;0;0;1;0;1;1;5;5;10;True;1;8;7;3;5;2;0;0;0;2;0;1678
05;7;2;0;0;1;0;0;0;0;0;1;-12;1;11;True;2;5;3;1;6;5;0;0;0;2;0;929
05;23;1;1;1;3;0;0;2;0;1;2;9;11;12;True;6;10;4;3;9;6;2;3;1;0;1;1451
05;7;2;2;1;1;0;0;0;0;1;1;-6;0;13;True;0;4;4;2;8;6;1;2;1;2;0;1170
05;8;0;2;1;0;2;0;0;0;3;3;-2;1;14;True;2;5;3;1;7;6;1;2;1;0;0;1428
05;25;2;1;0;3;2;0;1;0;1;5;2;15;15;True;7;15;8;1;5;4;8;9;1;2;0;1510
05;16;0;3;1;2;2;0;0;0;1;5;0;15;16;True;2;4;2;2;5;3;6;8;2;0;0;1708
05;25;3;8;0;0;5;0;1;0;2;3;4;24;17;True;4;12;8;5;9;4;2;2;0;1;2;2005
05;19;1;3;0;2;2;0;1;0;1;2;7;14;18;True;1;3;2;5;10;5;2;2;0;1;0;1596
05;10;0;4;1;2;4;0;0;0;1;5;9;9;19;True;2;7;5;2;5;3;0;0;0;0;0;1413
05;12;1;4;0;4;0;0;0;0;5;2;15;5;20;True;3;6;3;1;3;2;3;3;0;1;0;1370
05;20;2;4;3;2;0;0;1;0;1;5;-17;21;21;True;7;11;4;0;4;4;6;7;1;1;1;1644
06;0;0;0;0;0;0;0;0;0;0;0;0;0;9;False;0;0;0;0;0;0;0;0;0;0;0;0
06;0;0;0;0;0;0;0;0;0;0;0;0;0;16;False;0;0;0;0;0;0;0;0;0;0;0;0
06;0;0;0;0;0;0;0;0;0;0;0;0;0;17;False;0;0;0;0;0;0;0;0;0;0;0;0
06;0;0;0;0;0;0;0;0;0;0;0;0;0;19;False;0;0;0;0;0;0;0;0;0;0;0;0
08;5;3;2;0;1;0;0;0;0;2;1;17;5;1;False;0;1;1;1;3;2;2;2;0;3;0;891
